no-heart-attack,heart-attack,Salary-Churn,Salary-Not-Churn,Mex-Inflation,high_school,bachelors_degree,home-expected-goals,away-expected-goals,Control-earning,Test-earning,Control-Click,Test-Click,Developing,Developed,,
130,120,101348.88,112542.58,3.25,21.94,41.6,2,2.6,2311,1940,6090,3217,59.9,82.7,,
120,100,113931.57,93826.63,3.55,22.28,41.32,3,0.4,1743,2929,3383,3635,77.5,81.4,,2
140,140,149756.71,79084.1,4.25,22.7,41.65,0.9,1.4,1798,2526,4168,3057,75.4,89,,3
170,110,119346.88,10062.8,4.65,21.64,39.61,0.6,3.4,1696,2281,4911,4650,51.7,74.3,,4
100,120,5097.67,74940.5,4.63,21.5,38.87,4,0.8,1544,2782,5988,5201,76.2,77.8,,5
105,140,118913.53,71725.73,4.09,21.26,38.65,0.5,0.7,2082,2157,4462,4214,74.6,83,,6
110,110,140469.38,80181.12,3.47,21,38.73,2.5,1.8,1815,2560,3556,3279,72.5,89,,7
125,120,27822.99,76390.01,3.46,20.81,37.96,1.1,1.1,1965,2564,4358,4691,71.4,81.2,,8
120,92,181297.65,26260.98,3.39,20.34,36.47,1.7,1.9,1652,2242,5092,3908,72,82.5,,9
130,120,194365.76,190857.79,3.36,20.31,37,3.5,1.1,2456,2368,6654,4721,70,74.4,,10
150,110,119708.21,65951.65,3.62,20.5,36.76,1,1.5,2174,2613,4273,3861,59.7,73.4,,11
98,120,117622.8,64327.26,3.97,20.67,36.44,0.7,0.8,1992,2221,5830,3938,69.4,81.7,,12
120,150,164040.94,14406.41,4.48,21.06,37.42,2.3,0.6,1655,3171,3993,4468,77.2,81.4,,13
140,110,40014.76,158684.81,4.23,21.42,37.3,1.4,0.2,1985,1948,5560,2618,65.1,81.7,,14
120,118,1643.11,54724.03,3.76,20.93,37.04,1.3,1.4,1601,2812,5538,3623,74.8,77.3,,15
150,120,28373.86,170886.17,3.5,21.04,37.23,2,1.7,2182,2260,5324,4042,59.3,89,,16
120,140,136458.19,138555.46,3.51,21.17,36.99,0.9,1.6,1254,2088,7370,4986,59.1,74.8,,17
112,150,128643.35,8487.75,3.75,21.07,36.89,2.6,0.8,2144,2538,3857,6020,73,82.6,,18
130,106,93251.42,187616.16,4.07,21.33,36.78,3.6,1.8,1792,2683,6609,5060,68.3,82.3,,19
150,120,174205.22,124508.29,4.15,21.5,37.14,0.7,2.1,1332,2300,7959,4096,56.7,,,20
120,160,177655.68,170041.95,4.22,21.39,37.26,1.5,1.2,2112,2538,2190,2937,82,,,21
130,160,30984.59,38433.35,4.3,21.1,37.07,2.6,0.4,1630,2833,7453,4119,58,,,22
130,115,99449.86,100187.43,4.17,20.8,36.44,2,1,1990,2756,7154,4244,52.6,,,23
130,130,101300.94,53483.21,4.08,20.67,35.76,1.5,2.1,2101,2791,3075,3564,83,,,24
130,140,199725.39,156731.91,3.07,20.39,34.97,3,0.4,2042,2616,4899,2269,75.8,,,25
120,145,110265.24,81898.81,3,19.95,33.44,1.9,2.2,1617,2367,5937,3252,74.6,,,26
130,160,8636.05,34410.55,3.14,19.62,32.5,1.1,1.4,2186,2790,3585,3210,63.2,,,27
120,130,46824.08,142033.07,3.06,19.68,32.86,0.8,1.1,1704,2287,5784,1837,79.5,,,28
140,125,75161.25,114066.77,2.88,19.88,32.72,0.6,0.8,1897,2633,3806,3409,63,,,29
145,125,8590.83,98453.45,2.87,19.65,32.16,1.3,1.3,1857,2261,5679,3412,73.6,,,30
110,140,159123.82,40812.9,2.74,19.65,32.16,0.5,1.6,2015,2190,5919,2736,76,,,31
120,140,126213.84,178074.04,2.59,19.77,31.87,0.9,2.1,2497,2786,4667,3925,73.3,,,32
120,130,149892.79,70154.22,2.52,19.74,32.21,0.5,4.2,2090,2465,5627,3652,57.9,,,33
120,130,17941.16,94153.83,2.48,20.07,31.89,1.3,1.4,2090,2779,5256,5233,77.3,,,34
130,100,55582.54,158338.39,2.21,20.66,33.41,1.2,0.5,1572,2551,6994,3992,64.2,,,35
