Extra-sleep,Extra-group,Capsule,Tablet,Variant,Control,Views-V,Views-C
-1.6,1,3.655882,2.962857,0,0,views,0
-1.2,1,3,3,0,0,8,0
-0.2,1,4.335,3,0,0,3,0
-0.1,1,3.26,3.341667,0,0,14,0
-0.1,2,2.445,3.458,2.15,0,9,2.15
0,1,2.36,3.255,0,0,6,0
0.1,2,4,4,0,0,1,0
0.7,1,3.195,2.642,0,0,27,0
0.8,1,3.47,4.6,0,0,2,0
0.8,2,1.86,3.473636,0,0,6,0
1.1,2,3.387273,5,0,0,2,0
1.6,2,3.783333,3.201667,0,0,3,0
1.9,2,2,3.165,0,0,2,0
2,1,3.465,4.07,0,0,2,0
3.4,1,3.53,1,0,0,4,0
3.4,2,3.561765,3.3275,0,0,10,0
3.7,1,2.445,3.04,0,0,11,0
4.4,2,2.36,3.75,0,0,1,0
4.6,2,4.5,2.5,0,0,3,0
5.5,2,3.195,2.74,0,0,6,0
,,3.69,3,0,0,11,0
,,3.731667,5,0,0,17,0
,,3.135,4,0,0,8,0
,,3,2.854,0,0,1,0
,,2.5,2.73,0,0,1,0
,,3.33,3.19,0,0,3,0
,,2.815,3.59,0,3.25,1,0
,,3.663333,5,0,0,18,0
,,3.53,3.57,0,0,3,0
,,3.38,3.06,0,0,5,0
,,4.026667,1,0,0,2,0
,,3.33,4.06,0,0,3,0
,,4.33,3.172857,0,0,1,0
,,3.54,4.18,0,0,13,0
,,3,2.835,0,0,5,0
,,4.815,2.722,0,0,1,0
,,4.315,3.91,0,0,17,0
,,2.91,2.85,0,0,9,0
,,3.035,4.355,0,0,7,0
,,4,2.7025,0,0,20,0
,,3.78,3.300909,0,0,28,0
,,3.77,3.4975,0,0,2,0
,,4.07,3.565,0,0,29,0
,,3.55,2.73,0,0,13,0
,,4.05,2.67,0,0,3,0
,,4.63,3.19,0,0,2,0
,,3.425,3.1125,0,0,3,0
,,3.71,3.255,0,0,3,0
,,3.663333,4,0,0,5,0
,,4.43,3.045,0,0,2,0
,,3.65,3.95,0,0,6,0
,,3.885,4.145,0,0,4,0
,,3,3.75,0,0,1,0
,,2.07,3.398364,0,0,7,0
,,3.933333,5,0,0,8,0
,,3,4.275,0,0,4,0
,,4.5,4.26,0,0,36,0
,,3.75,4.25,0,0,2,0
,,2.5,4.125,0,0,3,0
,,3.805,2.9,0,0,2,0
,,3.69,4.5,0,0,2,0
,,2.84,3.59,0,0,16,0
,,3.2,3.725,0,0,6,0
,,2.57,3.21,0,0,2,0
,,3.406667,3.85,0,0,6,0
,,3.765,3.31,0,0,5,0
,,3.92,3.68,0,0,4,0
,,3.335,3.48,0,0,30,0
,,3.33,2.962857,0,0,1,0
,,4,3.59,0,2.99,2,0
,,3.933333,3.57,0,0,1,0
,,2.75,3.06,0,0,9,0
,,3.92,1,0,0,3,0
,,,3,4.27,0,1,4.27
,,,4.5,0,0,13,0
,,,5,0,0,1,0
,,,3.736,0,0,31,0
,,,2.722,0,0,1,0
,,,3.605,0,0,15,0
,,,2.926667,0,0,3,0
,,,3,0,0,2,0
,,,2.673333,0,0,3,0
,,,4.33,1.75,0,3,1.75
,,,2.753333,0,0,2,0
,,,3.46875,0,0,2,0
,,,3.8,0,0,1,0
,,,2.813333,0,0,6,0
,,,3.915,0,0,17,0
,,,3.51,0,0,5,0
,,,3.234,0,0,27,0
,,,2,0,0,3,0
,,,3.944286,0,0,3,0
,,,3.874286,0,0,7,0
,,,4.110625,0,0,1,0
,,,3.674286,0,0,4,0
,,,3.835,0,0,2,0
,,,1,0,0,2,0
,,,4.5,0,0,3,0
,,,3.815455,0,0,2,0
,,,3.81,0,0,2,0
,,,3.670435,0,0,1,0
,,,4.252333,0,0,1,0
,,,3.755,0,0,2,0
,,,4.31,0,0,6,0
,,,1,0,0,2,0
,,,2.23,0,0,4,0
,,,3.419474,0,0,2,0
,,,5,0,0,2,0
,,,3.326087,0,0,1,0
,,,1,0,0,2,0
,,,4.27,0,0,2,0
,,,4.307692,0,0,12,0
,,,4,0,0,10,0
,,,5,0,0,8,0
,,,3.9544,0,0,3,0
,,,4.125,0,0,5,0
,,,3.505,0,0,2,0
,,,3.27,0,0,10,0
,,,2.82,0,0,2,0
,,,3.665,0,0,2,0
,,,3.8,0,0,9,0
,,,3.12,0,0,3,0
,,,5,0,0,5,0
,,,1,0,0,12,0
,,,3.4,0,0,4,0
,,,3.053333,0,0,5,0
,,,3.6,0,0,2,0
,,,4.006667,0,0,2,0
,,,3.57,0,0,5,0
,,,3.293333,0,0,1,0
,,,3.45,0,0,4,0
,,,3.986667,0,0,1,0
,,,3.195,0,0,6,0
,,,4.5,0,0,5,0
,,,3.255,0,0,7,0
,,,4,0,0,2,0
,,,4.375,0,0,3,0
,,,3.86,0,0,11,0
,,,3.2,0,0,20,0
,,,3.67,0,0,9,0
,,,3.615,0,0,7,0
,,,5,0,0,6,0
,,,3.95,0,0,3,0
,,,3.66625,0,0,5,0
,,,2.8,0,0,1,0
,,,4.1675,0,0,6,0
,,,3.985,0,0,2,0
,,,3.586,0,0,6,0
,,,4.125,0,0,5,0
,,,5,0,0,12,0
,,,3.876667,0,9.91,2,0
,,,4.09,0,0,4,0
,,,4.07,0,0,2,0
,,,3.9,0,0,6,0
,,,3.26,0,0,1,0
,,,3.443333,0,0,1,0
,,,4.75,0,0,3,0
,,,4.0775,0,0,3,0
,,,4.125,0,0,8,0
,,,3.505,0,0,1,0
,,,4.59,0,0,2,0
